352
 161     55   54  104   55   54  104   55   54  104
 162    104  105   55  104  105   55  104  105   55
 163    106  107  108  106  107  108  106  107  108
 164    108  109  106  108  109  106  108  109  106
 165    109  108  110  109  108  110  109  108  110
 166    111  110  108  111  110  108  111  110  108
 167    108  112  111  108  112  111  108  112  111
 168    113  112  108  113  112  108  113  112  108
 169    108  107  113  108  107  113  108  107  113
 170    114  115  116  114  115  116  114  115  116
 171    116  117  114  116  117  114  116  117  114
 172    118  117  116  118  117  116  118  117  116
 173    116  119  118  116  119  118  116  119  118
 174    120  119  116  120  119  116  120  119  116
 175    116  121  120  116  121  120  116  121  120
 176    121  116  115  121  116  115  121  116  115
 177    115  122  121  115  122  121  115  122  121
 178    120  123  119  120  123  119  120  123  119
 179    118  119  124  118  119  124  118  119  124
 180    125  124  119  125  124  119  125  124  119
 181    119  123  125  119  123  125  119  123  125
 182    126  127  128  126  127  128  126  127  128
 183    128  129  126  128  129  126  128  129  126
 184     25  129  128   25  129  128   25  129  128
 185    128   26   25  128   26   25  128   26   25
 186     27   26  128   27   26  128   27   26  128
 187    128  130   27  128  130   27  128  130   27
 188    131  130  128  131  130  128  131  130  128
 189    128  127  131  128  127  131  128  127  131
 190    132  133  134  132  133  134  132  133  134
 191    135  134  133  135  134  133  135  134  133
 192    136  137  138  136  137  138  136  137  138
 193    138  139  136  138  139  136  138  139  136
 194    140  139  138  140  139  138  140  139  138
 195    138  141  140  138  141  140  138  141  140
 196    106  141  138  106  141  138  106  141  138
 197    138  107  106  138  107  106  138  107  106
 198    113  107  138  113  107  138  113  107  138
 199    138  137  113  138  137  113  138  137  113
 200    131  127  142  131  127  142  131  127  142
 201    142  143  131  142  143  131  142  143  131
 202    140  143  142  140  143  142  140  143  142
 203    142  139  140  142  139  140  142  139  140
 204    136  139  142  136  139  142  136  139  142
 205    142  144  136  142  144  136  142  144  136
 206    126  144  142  126  144  142  126  144  142
 207    142  127  126  142  127  126  142  127  126
